mode,case,p1_MeV,T_gamma_MeV,target,category,quantity,total,support,domain,unsupported,corrected,kink,all_masks_exact,negative_M_T_in_route,cap,global_relative,global_scale,max_absolute,max_absolute_index,samples,worst_actual_bits,worst_expected_bits,worst_local_index,worst_local_relative
same_input,0,2.0,2.05,nu_tau,elastic_plus,W,27648,27648,27648,0,0,0,True,4170,1e-07,2.547073163444913e-16,27.896439959309692,7.105427357601002e-15,27284,27648,403a24cad718c815,403a24cad718c817,6496,4.384237165821987e-16
same_input,0,2.0,2.05,nu_tau,elastic_plus,W_T,27648,27648,27648,0,0,0,True,4170,1e-07,3.916090871788925e-16,27.216276090990494,1.0658141036401503e-14,27228,27648,4032190b5069fdad,4032190b5069fdb0,17768,8.95924825847321e-16
same_input,0,2.0,2.05,antinu_tau,elastic_minus,M,27648,27648,27648,0,0,0,True,4170,1e-07,0.0,1.891358828687767e-13,0.0,0,27648,3b87a1133f0d7879,3b87a1133f0d7879,0,0.0
same_input,0,2.0,2.05,antinu_tau,elastic_minus,M_T,27648,27648,27648,0,0,0,True,4170,1e-07,0.0,1.8450646474195866e-13,0.0,0,27648,3af9a2eccaa871d4,3af9a2eccaa871d4,0,0.0
same_input,0,2.0,2.05,antinu_tau,elastic_minus,W,27648,27648,27648,0,0,0,True,4170,1e-07,2.547073163444913e-16,27.896439959309692,7.105427357601002e-15,27284,27648,403a24cad718c815,403a24cad718c817,6496,4.384237165821987e-16
same_input,0,2.0,2.05,antinu_tau,elastic_minus,W_T,27648,27648,27648,0,0,0,True,4170,1e-07,3.916090871788925e-16,27.216276090990494,1.0658141036401503e-14,27228,27648,4032190b5069fdad,4032190b5069fdb0,17768,8.95924825847321e-16
same_input,0,2.0,2.05,antinu_tau,elastic_plus,M,27648,27648,27648,0,0,0,True,4176,1e-07,0.0,1.8964215758857202e-13,0.0,0,27648,3b8e04775f54d5cc,3b8e04775f54d5cc,0,0.0
same_input,0,2.0,2.05,antinu_tau,elastic_plus,M_T,27648,27648,27648,0,0,0,True,4176,1e-07,0.0,1.8500463838122185e-13,0.0,0,27648,3b00bba8cf4a3fa2,3b00bba8cf4a3fa2,0,0.0
same_input,0,2.0,2.05,antinu_tau,elastic_plus,W,27648,27648,27648,0,0,0,True,4176,1e-07,2.547073163444913e-16,27.896439959309692,7.105427357601002e-15,27284,27648,403a24cad718c815,403a24cad718c817,6496,4.384237165821987e-16
same_input,0,2.0,2.05,antinu_tau,elastic_plus,W_T,27648,27648,27648,0,0,0,True,4176,1e-07,3.916090871788925e-16,27.216276090990494,1.0658141036401503e-14,27228,27648,4032190b5069fdad,4032190b5069fdb0,17768,8.95924825847321e-16
same_input,1,0.75,0.4,nu_e,elastic_minus,M,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,4.779000528456878e-15,0.0,0,27648,3b85eadede9fcbc6,3b85eadede9fcbc6,0,0.0
same_input,1,0.75,0.4,nu_e,elastic_minus,M_T,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,2.389454643450591e-14,0.0,0,27648,3afc27fed8af7682,3afc27fed8af7682,0,0.0
same_input,1,0.75,0.4,nu_e,elastic_minus,W,27648,27648,27648,0,0,0,True,7162,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
same_input,1,0.75,0.4,nu_e,elastic_minus,W_T,27648,27648,27648,0,0,0,True,7162,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
same_input,1,0.75,0.4,nu_e,elastic_plus,M,27648,27648,27648,0,0,0,True,7740,1e-07,0.0,4.71047013514064e-15,0.0,0,27648,3b1d69644f42792b,3b1d69644f42792b,0,0.0
same_input,1,0.75,0.4,nu_e,elastic_plus,M_T,27648,27648,27648,0,0,0,True,7740,1e-07,0.0,2.3547783480827426e-14,0.0,0,27648,3a9ccbbf243c0491,3a9ccbbf243c0491,0,0.0
same_input,1,0.75,0.4,nu_e,elastic_plus,W,27648,27648,27648,0,0,0,True,7740,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
