[17:42:14] obs_jac -> obs_jac_selftest.npz: N=0.000000 abscissa=-5.5065e+01 n_pos=0
[17:42:14] ratcheted_cols -> ratcheted_selftest.npz: 2 columns
[17:42:14] selftest OK -- every named observation produced on the miniature
[21:37:21] eval 3051: N=0.1633 T_cm=8.49346 T_gamma=8.49357 ratio=1.000013
[21:41:46] eval 3101: N=0.1634 T_cm=8.49289 T_gamma=8.49300 ratio=1.000013
[21:46:25] eval 3151: N=0.1634 T_cm=8.49289 T_gamma=8.49300 ratio=1.000013
[21:51:07] eval 3201: N=0.1634 T_cm=8.49289 T_gamma=8.49300 ratio=1.000013
[21:55:37] eval 3251: N=0.1634 T_cm=8.49289 T_gamma=8.49300 ratio=1.000013
[22:00:04] eval 3301: N=0.1634 T_cm=8.49218 T_gamma=8.49228 ratio=1.000013
[22:04:37] eval 3351: N=0.1634 T_cm=8.49218 T_gamma=8.49228 ratio=1.000013
[22:09:07] eval 3401: N=0.1634 T_cm=8.49218 T_gamma=8.49228 ratio=1.000013
[22:13:41] eval 3451: N=0.1634 T_cm=8.49218 T_gamma=8.49228 ratio=1.000013
[22:18:14] eval 3501: N=0.1634 T_cm=8.49218 T_gamma=8.49228 ratio=1.000013
[22:22:50] eval 3551: N=0.1634 T_cm=8.49218 T_gamma=8.49228 ratio=1.000013
[22:27:17] eval 3601: N=0.1634 T_cm=8.49218 T_gamma=8.49228 ratio=1.000013
[22:31:47] eval 3651: N=0.1634 T_cm=8.49218 T_gamma=8.49228 ratio=1.000013
[22:36:13] eval 3701: N=0.1635 T_cm=8.49173 T_gamma=8.49184 ratio=1.000013
[22:40:41] eval 3751: N=0.1635 T_cm=8.49173 T_gamma=8.49184 ratio=1.000013
[22:45:12] eval 3801: N=0.1635 T_cm=8.49173 T_gamma=8.49184 ratio=1.000013
[22:49:43] eval 3851: N=0.1635 T_cm=8.49173 T_gamma=8.49184 ratio=1.000013
[22:54:14] eval 3901: N=0.1634 T_cm=8.49229 T_gamma=8.49240 ratio=1.000013
[22:58:45] eval 3951: N=0.1634 T_cm=8.49229 T_gamma=8.49240 ratio=1.000013
[23:03:10] v3a: STOPPED BY CAP -- call_cap:4000
[23:03:10] v3a: integration done -- 4000 calls, N=0.16339363906241333
[23:03:15] eval 4001: N=0.1629 T_cm=8.49702 T_gamma=8.49713 ratio=1.000013
[23:07:48] eval 4051: N=0.1629 T_cm=8.49702 T_gamma=8.49713 ratio=1.000013
[23:12:17] eval 4101: N=0.1629 T_cm=8.49702 T_gamma=8.49713 ratio=1.000013
[23:16:49] eval 4151: N=0.1629 T_cm=8.49702 T_gamma=8.49713 ratio=1.000013
[23:19:42] obs_jac -> obs_jac_1200.npz: N=0.162869 abscissa=-5.7502e+00 n_pos=0
[23:21:19] eval 4201: N=0.1629 T_cm=8.49702 T_gamma=8.49713 ratio=1.000013
[23:24:16] ratcheted_cols -> ratcheted_cols_1200.npz: 51 columns
[23:25:49] eval 4251: N=0.1630 T_cm=8.49616 T_gamma=8.49627 ratio=1.000013
[23:29:44] eval 4301: N=0.1630 T_cm=8.49616 T_gamma=8.49627 ratio=1.000013
[23:33:26] eval 4351: N=0.1630 T_cm=8.49616 T_gamma=8.49627 ratio=1.000013
[23:37:08] eval 4401: N=0.1630 T_cm=8.49616 T_gamma=8.49627 ratio=1.000013
[23:38:18] obs_jac -> obs_jac_2000.npz: N=0.162971 abscissa=-5.7485e+00 n_pos=0
[23:40:50] eval 4451: N=0.1630 T_cm=8.49616 T_gamma=8.49627 ratio=1.000013
[23:42:07] ratcheted_cols -> ratcheted_cols_2000.npz: 51 columns
[23:44:51] eval 4501: N=0.1632 T_cm=8.49446 T_gamma=8.49457 ratio=1.000013
[23:49:21] eval 4551: N=0.1632 T_cm=8.49446 T_gamma=8.49457 ratio=1.000013
[23:53:56] eval 4601: N=0.1632 T_cm=8.49446 T_gamma=8.49457 ratio=1.000013
[23:58:25] eval 4651: N=0.1632 T_cm=8.49446 T_gamma=8.49457 ratio=1.000013
[23:58:26] obs_jac -> obs_jac_3000.npz: N=0.163170 abscissa=-5.7450e+00 n_pos=0
[00:03:00] eval 4701: N=0.1632 T_cm=8.49446 T_gamma=8.49457 ratio=1.000013
[00:03:05] ratcheted_cols -> ratcheted_cols_3000.npz: 51 columns
[00:03:05] v3a COMPLETE: {"stop_reason": "call_cap:4000", "raw_calls_integration": 4000, "N_reached": 0.16339363906241333}
